DW_TEMPO;ds_invoice_date;Ano;Mes;Dia;Trimestre
83bf12c1f0b47905aa99c727366d2de6ced62b6ead7dd43e8a48cccdcb5db869;19/02/2018;"";"";"";""
6e56aaf4c47f2abe0efa9b467370566cefef3def54784017bbab9981b46ec142;26/02/2018;"";"";"";""
040e115b552b98afc0ab8c66a9977706381c1db4dbe05b5a1b735a470a993d74;21/06/2017;"";"";"";""
e934e055259191e6974b5574403c25d0fed72a7346133435a96e1aa512a71e49;18/11/2018;"";"";"";""
a99e777125750bc6333d72e907e3bbfc7bed60141fd55159d95baa9fb9976a6a;28/05/2018;"";"";"";""
628e7c98ce7e1c3291d3d103e6cbff9d9463275fe2f988f5bf35b388cf9d6be6;08/03/2017;"";"";"";""
16138482171f66079c8b548cc5b4777ca18cadd29ca9459dbe25f0250b2d4d70;17/11/2017;"";"";"";""
080533efc041044c7b92ce841b4072ea7e904beacf9508ccf1c230eb369793b6;07/12/2017;"";"";"";""
03dcb47354a12fd6cb22381bb63c7aa642ec8790c918fc4f82e9ea5c2ce539c5;31/12/2018;"";"";"";""
b7547a929e68ccd61b5cd0cec731954a8a2e29e2dba64ce544e59ce5cc27e291;19/02/2017;"";"";"";""
19650da03dd0ab25228cc7f41378dad56baf06169ef8dac5201dc722c43bdb39;09/12/2018;"";"";"";""
09faf806c8a001c8a030bbba4f13cdbb18b651ddfdafcf34d8e05e39e14f3cc2;16/03/2019;"";"";"";""
012b5ff1180572484884fa8fabe2b8f50c185ff9eaa27105e80228a3bf3a5c39;06/10/2018;"";"";"";""
fa5f74e5858408b01007f4c81a923a5e7c7c4b6b2927bcb540bc919d6a76bd40;16/06/2017;"";"";"";""
c3ba7dc4a386430a2cc333ce9ddbd80f7b58463ffe5243dc3c24e9d584054c8c;21/07/2017;"";"";"";""
ac53de8df6fd4b16307ddacc35b8f90f553e3161c188c0e401bd8b075403ba1f;15/12/2017;"";"";"";""
105551b07990ddef0136701e8f02b3a79da3ff0b31f585834c593229da89bec9;30/04/2018;"";"";"";""
b4189cb7b7950b0c0c7e96589542c7c372fb15fdcc971e6d3b3b1f82b5b563ca;26/11/2018;"";"";"";""
f64474b3fcd51cd9b528204c7c7b3ced8058fe6bd65b23bb095264ccaa4142a2;02/03/2017;"";"";"";""
96b7ecf4c021e91210ce82573db17ea95557fa46a145c83c73d2e3988f94255d;24/07/2017;"";"";"";""
1e6a90a2b4a2c7c7913f6eaaed2340c08d4c136aa46bea4cbcbbe521c2355613;30/01/2018;"";"";"";""
a35408fb19fb00c00e3bef8d23e5c7ae640c86c42d27cdb821a38507b48221e2;07/02/2017;"";"";"";""
46384bb7b4653957128f1bfdf619bdbc743503b1cbe118b1f126f8b7cf574ff9;04/04/2017;"";"";"";""
05eb080d065e8cd9412f968233870e7e771426a3019f91b592f700fe465f786e;29/03/2017;"";"";"";""
e119d133648aa2c92c14c66fc3f429a6231f4de00efd373355ca6ef62641f1a2;20/04/2018;"";"";"";""
7e5e716e293b810e89c522ab89e0c0310281b6fbd1a64a7862b979b6a0154f9f;15/04/2018;"";"";"";""
5aa1989287830b2c695bf2be7ef3191a55b10b964bb69ee61ffac7f93cf8a94f;08/09/2018;"";"";"";""
937c5574db75d9fc439cac05a7909a03c08e3e4dadb7a52ee50235cce91c810d;17/09/2018;"";"";"";""
272829ae924782d146bda4dd8dfe20f038474605aa7fd10a84ad0a03acec59bf;06/08/2018;"";"";"";""
3dc0f6b714f03df8041e7569598d75566154c23feef1d5df6fcba8d5a52236aa;25/03/2018;"";"";"";""
64085fe79484963802e8e7ec2460fc0296d56247774e5b31ca17b6ae1879a75e;02/06/2018;"";"";"";""
63867b3f6501bf72c4f38ac1449410f68f3e73b1d3fa4ec491da1f07d27540d5;27/07/2017;"";"";"";""
8c76d1989b9f7c4eee008cf79f418ee7c9d5f4cf4669da1677a6f5e7e0b26624;19/08/2018;"";"";"";""
86953427c5d9f9862b00485ed961838d28103b49332823ad308ab5dbcaba794d;15/09/2017;"";"";"";""
da83dbcbfad484e730fb0539971889aa47ccc66d5a9138a463f6499fd531c9dc;20/12/2017;"";"";"";""
d0929e4bdb33d54a69120b946271c4d239a0a53d0db3cc22b05b5d41c83a1ba8;01/06/2018;"";"";"";""
c57a8acc4d9cffeeecaf756a62ef4fe8b6d5b14e80ab73d419bf9a69ab141fa7;18/05/2017;"";"";"";""
55cd710bb814db6bc1ae907da0b5f92ba35c38caa676d588b713c43812482334;14/12/2017;"";"";"";""
89239528ca28df8b8ecdfee5f395c59f506e2378486de58955589af25b952a02;20/04/2017;"";"";"";""
aa523680095a6b840cc1c0af7e3990444d48703d5a2d8462b4e01c3dbf25930c;20/06/2017;"";"";"";""
89ac71ac44dfe0176abea46e02dd58a092d45c47067664d82677b5848bcabce3;26/06/2018;"";"";"";""
3d85bba4094c7204409c3fe0331fd01b31e1e13cef403b4f91a0987d6bc23031;03/10/2017;"";"";"";""
28d4645054c706a93c87ac9f761324a427516f602546459f8586bd86807912e1;22/12/2018;"";"";"";""
9a8936b77df45fb9f54b35973879abf40b8a022cd63ad7be87896d532410c719;23/01/2018;"";"";"";""
41505fa24b51c834c9cffebd4bfb410fb5afcd21ab4bb0e9c330dfddb510d98d;08/03/2019;"";"";"";""
0d15f04efe1150f5b62607fd0e4912d23c8eb4a111a3193784333b435bc679de;10/03/2018;"";"";"";""
fd854154b05a536e770fc0c9dda68d29becf34e62f0aade3add0738fca178c8b;14/07/2018;"";"";"";""
1884c1da85f8bb96d034f3cb39f0b3cbba495eec1e70bfe298a3cb31c39068a6;21/08/2017;"";"";"";""
3c068e24cf8f388b5d2d54060302c08c68e6f0fecfb1eddf1165e016c1183454;31/05/2018;"";"";"";""
d3fa7e9fb46f91e3850060dd5dc68fbb97de420523300e5307d089749e6dcad4;05/04/2017;"";"";"";""
e820c35bb8f1108511990100c845dcf042f9c3214c30d0355cfda75246f59ddd;26/07/2018;"";"";"";""
655cf311d57a8aaa1d55dbeb3ebb1e13709fa50d956b3dfb425c253e09a48216;10/02/2019;"";"";"";""
6de918da4b44a7b50f61a301d301fe94201120abc002d4d19370d0133f33761a;11/08/2018;"";"";"";""
6f0d22f4acb5595031fa164e84be75bf7ef92ffa9c75ed767f3bfed123ae427a;13/05/2018;"";"";"";""
58a57cea3acb5deef49a4c81461301951abcd7e2a21f66e95521338b50d29fed;03/08/2018;"";"";"";""
1ea11c2419e7c44776e98fe76ea876393f65e3dbb27eef9f55f0aab4967b8dc9;28/04/2018;"";"";"";""
10cf5c0b90a42f9a14993cb9e2c8789215c11f7fb15a73f1df3f1fe63762ab2d;30/01/2017;"";"";"";""
6c7255996c7f97341e4d61653d9346fb09295f10ce9f28e31ff093b714542215;20/05/2018;"";"";"";""
482561a189cc96a89908e67db0633a89634756d75cb0c6a19fa0d07e8268fa11;24/11/2018;"";"";"";""
1f603cc89f9f3df17483063624ad46462c070b48f8d85e9e742fd338b57d1803;28/11/2017;"";"";"";""
c7afe7740586c9251d07ad01670cf849447113835d88159268da51953d322032;03/05/2017;"";"";"";""
b06467e239c4b10fdf90ac00d4f3ac870988c39ad0a64d42dbe7b4e381e01668;08/05/2017;"";"";"";""
df4f30d549abd4c98aa0f48a82db839fd0fa4a58f2d39e6859f9bfabe0640691;17/12/2018;"";"";"";""
f0ac30b25f8017aaef65767cc270af736dc4996eff3b41b469870ee4e7960e80;30/03/2017;"";"";"";""
44200716ca0f3a3050edeb5f5745bd8a7e6349c0e69b4d6c3693fec91dfbe9d1;17/04/2017;"";"";"";""
f6630ef0e1ba2d86664c407b64d935dab30430403ba3a03aeaa71e351625dee1;01/07/2017;"";"";"";""
7e2a9f91ad607c12adc31b961c0cfa9332ba0d3ad8ee3a5a3edfaf52768f5df7;16/07/2018;"";"";"";""
df45dbd315c0a7db01b564ee107f05eb6b80b62b98c21c054e42a01245f2ecd5;05/12/2017;"";"";"";""
3f8231a179ea84d7f86b94b6fcbf4476bdfcdaf72a0f6c7dc12a267dc08bf933;08/10/2018;"";"";"";""
95d464e9882f34a6a79ee14b707879fe000a68c8393b17cc3405a9a5ee0f5d6c;07/07/2018;"";"";"";""
